Title,Actor,BoxOffice_Min_USD_million,BoxOffice_Max_USD_million,YouTube_Total_Views,YouTube_Total_Likes,YouTube_Total_Comments,GoogleTrends_Mean
Bigil,Vijay,32.54,34.25,914741160,32929408,3787632,73.45
Master,Vijay,25.12,34.25,914741160,32929408,3787632,73.45
Varisu,Vijay,33.11,33.46,914741160,32929408,3787632,73.45
Leo,Vijay,68.85,71.13,914741160,32929408,3787632,73.45
The Greatest of All Time,Vijay,50.24,52.07,914741160,32929408,3787632,73.45
Petta,Rajinikanth,25.01,28.55,715546639,14358719,423211,5.0875
Darbar,Rajinikanth,23.06,28.55,715546639,14358719,423211,5.0875
Annaatthe,Rajinikanth,15.99,27.4,715546639,14358719,423211,5.0875
Jailer,Rajinikanth,69.08,69.08,715546639,14358719,423211,5.0875
Lal Salaam,Rajinikanth,2.26,2.26,715546639,14358719,423211,5.0875
Vettaiyan,Rajinikanth,27.4,28.55,715546639,14358719,423211,5.0875
