actor,videoId,title,publishedAt,viewCount,likeCount,commentCount,search_query
Vijay,MKUDHKf_pkg,The First Roar - Jana Nayagan | Thalapathy Vijay | H Vinoth | Anirudh | Pooja Hegde | KVN,2025-06-21T18:29:57Z,33727368,943084,34042,Thalapathy Vijay teaser
Vijay,UTiXQcrLlv4,Master - Official Teaser | Thalapathy Vijay | Anirudh Ravichander | Lokesh Kanagaraj,2020-11-14T12:28:14Z,79704257,2887022,1166393,Thalapathy Vijay teaser
Vijay,Po3jStA673E,LEO - Official Trailer | Thalapathy Vijay | Lokesh Kanagaraj | Anirudh Ravichander,2023-10-05T13:00:12Z,70296994,3123067,167248,Thalapathy Vijay teaser
Vijay,C4oy7FjlpDc,Jana Nayagan - Notion Trailer | Thalapathy Vijay | Bobby Deol | Pooja Hegde | Anirudh | PIT,2024-10-05T12:30:08Z,1094597,13985,140,Thalapathy Vijay teaser
Vijay,UT0HyhjyYpg,Jana Nayagan - Official Trailer | Thalapathy Vijay | H Vinoth | Pooja Hegde | Anirudh ravichander,2025-02-20T10:30:40Z,714575,11675,305,Thalapathy Vijay teaser
Vijay,oxwdMJq1M1A,Jana Nayagan - Teaser | Thalapathy Vijay | H Vinoth | Anirudh | Pooja Hegde | Concept Trailer,2025-07-05T14:32:06Z,181647,3177,69,Thalapathy Vijay teaser
Vijay,jizVvr-3Vmk,Happy Birthday Thalapathy Vijay  | Sun Pictures,2025-06-22T03:29:00Z,599636,55820,1338,Thalapathy Vijay teaser
Vijay,wrNMJfIVcmI,Jana Nayagan - Notion Trailer 2 | Thalapathy Vijay | Bobby Deol | Pooja Hegde | Anirudh | PIT,2025-01-05T12:30:57Z,1096538,15368,180,Thalapathy Vijay teaser
Vijay,zkJtAIOSBRc,Jana Nayagan - Official Trailer | Thalapathy Vijay | Pooja Hegde Bobby Deol Anirudh,2025-08-09T14:02:27Z,1058,12,0,Thalapathy Vijay teaser
Vijay,kXAzvVLd0yA,Rashmika Mandanna about Thalapathy Vijay 🤩 | #shorts,2023-11-27T14:10:40Z,1765153,63883,217,Thalapathy Vijay teaser
Vijay,6_zABTe4IIg,Jana Nayagan - Official Trailer | Thalapathy Vijay | Pooja Hegde | Bobby Deol | Anirudh,2025-06-23T14:46:27Z,441589,8413,125,Thalapathy Vijay teaser
Vijay,0E1kVRRi6lk,Beast - Official Trailer | Thalapathy Vijay | Sun Pictures | Nelson | Anirudh | Pooja Hegde,2022-04-02T12:29:40Z,65462560,3200229,197943,Thalapathy Vijay teaser
Vijay,0OKiGzwv-1E,Pokkiri Trailer | Thalapathy Vijay | Asin | Vadivelu | Prakash Raj | Prabhu Deva | pokkiri Rerelease,2024-06-17T11:30:00Z,120799,6118,148,Thalapathy Vijay teaser
Vijay,10fuWs7dmsA,Jana Nayagan Glimpse - Notion Trailer | Thalapathy Vijay | Pooja Hegde | Bobby Deol | Anirudh,2025-06-21T12:30:01Z,629148,14639,89,Thalapathy Vijay teaser
Vijay,McPGQ-Nb9Uk,KINGDOM - Official Teaser | Vijay Deverakonda | Anirudh Ravichander | SNaga Vamsi | Gowtam Tinnanuri,2025-02-12T10:36:48Z,20320015,463305,14457,Thalapathy Vijay teaser
Vijay,qN3wfuPYTI4,LEO - Bloody Sweet Promo | Thalapathy Vijay | Lokesh Kanagaraj | Anirudh,2023-02-03T11:30:14Z,82901051,2239843,78253,Thalapathy Vijay teaser
Vijay,kGYKhsl8QgE,Why Thalapathy Vijay Is The GOAT 💥 Birthday Special | Netflix India,2025-06-22T06:30:00Z,112884,10487,258,Thalapathy Vijay teaser
Vijay,VkkyaodksT4,Sarkar - Official Teaser [Tamil] | Thalapathy Vijay | Sun Pictures | A.R Murugadoss | A.R. Rahman,2018-10-19T12:29:05Z,47634298,1547366,139693,Thalapathy Vijay teaser
Vijay,f_KZC_MnomQ,Behind the scenes of GOAT 🔥#goat #tamil #thalapathy #vijay #nithishfreaky #tamilwhatsappstatus,2024-09-20T14:05:57Z,3632913,183717,486,Thalapathy Vijay teaser
Vijay,8GXrKYG3LJw,Thalapathy vijay entry#thalapathyvijay #thalapathy #entry #trending #youtubeshorts #like #viralshort,2024-09-28T17:15:30Z,1103461,33932,61,Thalapathy Vijay teaser
